title,company_name,has_company_name,salary,has_salary,location,url,source,description,label
Требуется шиномонтажник,,0,,0,"Тараз, 6-мкр. Талас",https://www.olx.kz/obyavlenie/rabota/trebuetsya-shinomontazhnik-IDqMtCX.html,olx.kz,,
Бухгалтер нужен помощник,,0,,0,"Актау, 1",https://www.olx.kz/obyavlenie/rabota/buhgalter-nuzhen-pomoschnik-IDqMrEg.html,olx.kz,,
Требуется продавец,,0,,0,Шашубай,https://www.olx.kz/obyavlenie/rabota/trebuetsya-prodavets-IDqKKef.html,olx.kz,,
Требуется торговый представитель со своим авто-фургон,,0,,0,"Шымкент, Енбекшинский район",https://www.olx.kz/obyavlenie/rabota/trebuetsya-torgovyy-predstavitel-so-svoim-avto-furgon-IDqGG2B.html,olx.kz,,
Требуются разнорабочие в Челябинск,,0,,0,Костанай,https://www.olx.kz/obyavlenie/rabota/trebuyutsya-raznorabochie-v-chelyabinsk-IDqygyK.html,olx.kz,,
Требуется сварщик по инженерным сетям,,0,,0,"Астана, Нура",https://www.olx.kz/obyavlenie/rabota/trebuetsya-svarschik-po-inzhenernym-setyam-IDpb32t.html,olx.kz,,
Примем охранников мужчин и женщин вахтовым методом,,0,,0,Экибастуз,https://www.olx.kz/obyavlenie/rabota/primem-ohrannikov-muzhchin-i-zhenschin-vahtovym-metodom-IDoEk6l.html,olx.kz,,
Требуются расклейщики объявлений,,0,,0,Павлодар,https://www.olx.kz/obyavlenie/rabota/trebuyutsya-raskleyschiki-obyavleniy-IDpUnXn.html,olx.kz,,
Требуется семейная пара на базу отдыха,,0,,0,"Астана, Алматинский район",https://www.olx.kz/obyavlenie/rabota/trebuetsya-semeynaya-para-na-bazu-otdyha-IDqFlQO.html,olx.kz,,
Грузчики на производство,,0,,0,"Астана, Байконурский",https://www.olx.kz/obyavlenie/rabota/gruzchiki-na-proizvodstvo-IDqJv1X.html,olx.kz,,
Требуется Уборщица,,0,,0,Костанай,https://www.olx.kz/obyavlenie/rabota/trebuetsya-uborschitsa-IDqjP1T.html,olx.kz,,
Требуются водитель на камаз,,0,,0,"Астана, Алматинский район",https://www.olx.kz/obyavlenie/rabota/trebuyutsya-voditel-na-kamaz-IDpTzfJ.html,olx.kz,,
"Доставка в Яндекс, работа для курьеров",,0,,0,"Астана, Алматинский район",https://www.olx.kz/rabota/https://yandextaxirabota.olx.kz/home/,olx.kz,,
Фасовщики сандвичей,,0,,0,"Астана, Байконурский",https://www.olx.kz/obyavlenie/rabota/fasovschiki-sandvichey-IDqJv0q.html,olx.kz,,
Требуется техничка в торг фирму «Береке» сзади Обувной фабрики,,0,,0,Семей,https://www.olx.kz/obyavlenie/rabota/trebuetsya-tehnichka-v-torg-firmu-bereke-szadi-obuvnoy-fabriki-IDpltDZ.html,olx.kz,,
Промоутер (подработка для студентов/школьников),,0,,0,"Караганда, Казыбекбийский район",https://www.olx.kz/obyavlenie/rabota/promouter-podrabotka-dlya-studentov-shkolnikov-IDqDR4a.html,olx.kz,,
Яндекс Такси! Нам требуются водители с авто| в Свободное время !,,0,,0,"Астана, Алматинский район",https://www.olx.kz/rabota/https://yandextaxirabota.olx.kz/home/,olx.kz,,
Требуется грузчик-комплектовщик,,0,,0,Петропавловск,https://www.olx.kz/obyavlenie/rabota/trebuetsya-gruzchik-komplektovschik-IDiHW9V.html,olx.kz,,
Требуется повар для плова и шаурмы,,0,,0,"Астана, Сарыаркинский район",https://www.olx.kz/obyavlenie/rabota/trebuetsya-povar-dlya-plova-i-shaurmy-IDqMsDN.html,olx.kz,,
Требуется старший продавец в супермаркет,,0,,0,"Караганда, Казыбекбийский район",https://www.olx.kz/obyavlenie/rabota/trebuetsya-starshiy-prodavets-v-supermarket-IDplBoR.html,olx.kz,,
Жүргізушілер қажет !!!,,0,,0,"Шымкент, Аль-Фарабийский район",https://www.olx.kz/obyavlenie/rabota/zhrgzushler-azhet-IDqk4VB.html,olx.kz,,
Кухонные рабочие,,0,,0,"Астана, Байконурский",https://www.olx.kz/obyavlenie/rabota/kuhonnye-rabochie-IDqJwYm.html,olx.kz,,
Подработка в свободное время на авто парка в такси!,,0,,0,"Алматы, Алатауский район",https://arendataxi.olx.kz/home/,olx.kz,,
"Требуется горничные , повор Коркем палас",,0,,0,"Шымкент, Аль-Фарабийский район",https://www.olx.kz/obyavlenie/rabota/trebuetsya-gornichnye-povor-korkem-palas-IDqfiNw.html,olx.kz,,
Требуется повар (шаурмист),,0,,0,"Усть-Каменогорск, Дворец спорта",https://www.olx.kz/obyavlenie/rabota/trebuetsya-povar-shaurmist-IDoKfIs.html,olx.kz,,
Яндекс Такси и Доставка зарабатывайте в свободное время в Караганде,,0,,0,"Караганда, Октябрьский район",https://yandextaxiastana.olx.kz/home/,olx.kz,,
Требуется кондитер- заготовитель.,,0,,0,Темиртау,https://www.olx.kz/obyavlenie/rabota/trebuetsya-konditer-zagotovitel-IDmcIMp.html,olx.kz,,
Требуется помощник технолога пекарни (мастер),,0,,0,Темиртау,https://www.olx.kz/obyavlenie/rabota/trebuetsya-pomoschnik-tehnologa-pekarni-master-IDpdorM.html,olx.kz,,
Требуется токарь,,0,,0,"Усть-Каменогорск, 45-я аптека",https://www.olx.kz/obyavlenie/rabota/trebuetsya-tokar-IDqGqzQ.html,olx.kz,,
Требуются водители Яндекс,,0,,0,"Караганда, Октябрьский район",https://www.olx.kz/obyavlenie/rabota/trebuyutsya-voditeli-yandeks-IDqJQRw.html,olx.kz,,
Шеф повар в столовую,,0,,0,"Астана, Байконурский",https://www.olx.kz/obyavlenie/rabota/shef-povar-v-stolovuyu-IDpUR6s.html,olx.kz,,
Требуются продавцы,,0,,0,Темиртау,https://www.olx.kz/obyavlenie/rabota/trebuyutsya-prodavtsy-IDlZ4WJ.html,olx.kz,,
"Работа в Яндекс Доставке для курьеров, Доход 10-20 тысяч в день",,0,,0,"Караганда, Октябрьский район",https://yandextaxiastana.olx.kz/home/,olx.kz,,
Работа на личном авто в такси Астана! Высокий доход!,,0,,0,"Астана, Сарыаркинский район",https://www.olx.kz/rabota/https://ytaxi.olx.kz/home/,olx.kz,,
Яндекс Такси/Доставка работа водителем на вашем авто в Алмате,,0,,0,"Алматы, Алатауский район",https://yandextaxiastana.olx.kz/home/,olx.kz,,
Өз автокөлігіңмен таксиде жұмыс — Шымкент!,,0,,0,"Шымкент, Аль-Фарабийский район",https://www.olx.kz/rabota/https://ytaxi.olx.kz/home/,olx.kz,,
Заработок в такси Алматы! Высокий доход!,,0,,0,"Алматы, Алмалинский район",https://www.olx.kz/rabota/https://ytaxi.olx.kz/home/,olx.kz,,
Нужен пекарь с опытом,,0,,0,"Алматы, Бостандыкский район",https://www.olx.kz/obyavlenie/rabota/nuzhen-pekar-s-opytom-IDqMsyl.html,olx.kz,,
Требуется продавец в мясной отдел,,0,,0,Темиртау,https://www.olx.kz/obyavlenie/rabota/trebuetsya-prodavets-v-myasnoy-otdel-IDqsCGy.html,olx.kz,,
Ищем сотрудников в офис,,0,,0,Панфилово,https://www.olx.kz/obyavlenie/rabota/ischem-sotrudnikov-v-ofis-IDqMsxJ.html,olx.kz,,
Требуются парни на производство диванов,,0,,0,Петропавловск,https://www.olx.kz/obyavlenie/rabota/trebuyutsya-parni-na-proizvodstvo-divanov-IDqJ8jI.html,olx.kz,,
"Разнорабочий, работа, жұмысшы қажет",,0,,0,Сайрам,https://www.olx.kz/obyavlenie/rabota/raznorabochiy-rabota-zhmysshy-azhet-IDqBhGP.html,olx.kz,,
Работа вахтовым методом,,0,,0,"Астана, Алматинский район",https://www.olx.kz/obyavlenie/rabota/rabota-vahtovym-metodom-IDqLx1O.html,olx.kz,,
"Работа для Курьеров в Яндекс Доставку, на авто, мото, пешком",,0,,0,"Караганда, Казыбекбийский район",https://yandextaxiastana.olx.kz/home/,olx.kz,,
Автомойка приглашает сотрудников,,0,,0,Петропавловск,https://www.olx.kz/obyavlenie/rabota/avtomoyka-priglashaet-sotrudnikov-IDqhK6p.html,olx.kz,,
Требуется подсобник,,0,,0,"Караганда, Казыбекбийский район",https://www.olx.kz/obyavlenie/rabota/trebuetsya-podsobnik-IDo6rAI.html,olx.kz,,
Администратор на ресепшен,,0,,0,"Астана, Сарыаркинский район",https://www.olx.kz/obyavlenie/rabota/administrator-na-resepshen-IDqz8WH.html,olx.kz,,
Полотер(уборщик),,0,,0,Чапаево,https://www.olx.kz/obyavlenie/rabota/poloteruborschik-IDqoupc.html,olx.kz,,
Требуются рабочие,,0,,0,Сарань,https://www.olx.kz/obyavlenie/rabota/trebuyutsya-rabochie-IDqMtpb.html,olx.kz,,
Дежурный администратор на полную ставку,,0,,0,"Астана, Сарыаркинский район",https://www.olx.kz/obyavlenie/rabota/dezhurnyy-administrator-na-polnuyu-stavku-IDqKY7H.html,olx.kz,,
Требуются кассиры,,0,,0,Темиртау,https://www.olx.kz/obyavlenie/rabota/trebuyutsya-kassiry-IDm9Gib.html,olx.kz,,
"Требуется специалист техподдержки, подработка для студентов",,0,,0,"Астана, Сарыаркинский район",https://www.olx.kz/obyavlenie/rabota/trebuetsya-spetsialist-tehpodderzhki-podrabotka-dlya-studentov-IDqynbD.html,olx.kz,,
Требуется водитель на цементовоз,,0,,0,Темиртау,https://www.olx.kz/obyavlenie/rabota/trebuetsya-voditel-na-tsementovoz-IDq4Oz9.html,olx.kz,,
Требуется грузчик на мебель,,0,,0,Петропавловск,https://www.olx.kz/obyavlenie/rabota/trebuetsya-gruzchik-na-mebel-IDqHR0v.html,olx.kz,,
На ленточную пилораму требуеться рамшик с помошником или один .,,0,,0,Семей,https://www.olx.kz/obyavlenie/rabota/na-lentochnuyu-piloramu-trebuetsya-ramshik-s-pomoshnikom-ili-odin-IDqC5Jx.html,olx.kz,,
Работа водителем на авто компании,,0,,0,"Шымкент, Аль-Фарабийский район",https://www.olx.kz/obyavlenie/rabota/rabota-voditelem-na-avto-kompanii-IDquWcH.html,olx.kz,,
Требуется водитель экспедитор,,0,,0,Петропавловск,https://www.olx.kz/obyavlenie/rabota/trebuetsya-voditel-ekspeditor-IDqJDMD.html,olx.kz,,
Требуются охранники вахта Майкаинзолото 180 000,,0,,0,Павлодар,https://www.olx.kz/obyavlenie/rabota/trebuyutsya-ohranniki-vahta-maykainzoloto-180-000-IDqiW09.html,olx.kz,,
Требуется водитель на еврофуру,,0,,0,Рудный,https://www.olx.kz/obyavlenie/rabota/trebuetsya-voditel-na-evrofuru-IDoTuAa.html,olx.kz,,
Требуется водитель,,0,,0,"Талдыкорган, Микрорайон 1",https://www.olx.kz/obyavlenie/rabota/trebuetsya-voditel-IDqMskn.html,olx.kz,,
Требуется повара в кафе ресторан,,0,,0,Кызылорда,https://www.olx.kz/obyavlenie/rabota/trebuetsya-povara-v-kafe-restoran-IDpcyet.html,olx.kz,,
Требуется работник,,0,,0,Нура,https://www.olx.kz/obyavlenie/rabota/trebuetsya-rabotnik-IDpTbyi.html,olx.kz,,
Требуется водитель на самосвал Камаз 15 тонн,,0,,0,"Алматы, Жетысуский район",https://www.olx.kz/obyavlenie/rabota/trebuetsya-voditel-na-samosval-kamaz-15-tonn-IDpGRFM.html,olx.kz,,
Бухгалтерские услуги,,0,,0,"Алматы, Медеуский район",https://www.olx.kz/obyavlenie/rabota/buhgalterskie-uslugi-IDqMtoP.html,olx.kz,,
Тазалықшы (жарты күндік жұмыс)/ Уборщик помещений (неполный день),,0,,0,"Караганда, Казыбекбийский район",https://fix-price.olx.kz/home/,olx.kz,,
На постоянную работу Требуются грузчики,,0,,0,"Шымкент, Аль-Фарабийский район",https://www.olx.kz/obyavlenie/rabota/na-postoyannuyu-rabotu-trebuyutsya-gruzchiki-IDno5kx.html,olx.kz,,
Сборщики сэндвичей в ночную смену,,0,,0,"Караганда, Казыбекбийский район",https://www.olx.kz/obyavlenie/rabota/sborschiki-sendvichey-v-nochnuyu-smenu-IDmHI9H.html,olx.kz,,
"HR, помощник HR менеджера",,0,,0,Жарсуат,https://www.olx.kz/obyavlenie/rabota/hr-pomoschnik-hr-menedzhera-IDqKV9v.html,olx.kz,,
Работа вахтой на складах в Москве( Россия),,0,,0,"Караганда, Октябрьский район",https://www.olx.kz/obyavlenie/rabota/rabota-vahtoy-na-skladah-v-moskve-rossiya-IDqbUAG.html,olx.kz,,
Уборщица помещений в кафе,,0,,0,"Усть-Каменогорск, 45-я аптека",https://www.olx.kz/obyavlenie/rabota/uborschitsa-pomescheniy-v-kafe-IDqhf4e.html,olx.kz,,
Требуется парикмахер,,0,,0,"Астана, Алматинский район",https://www.olx.kz/obyavlenie/rabota/trebuetsya-parikmaher-IDqI5Zd.html,olx.kz,,
Требуется водитель в компанию со своим автомобилем,,0,,0,"Алматы, Алмалинский район",https://www.olx.kz/obyavlenie/rabota/trebuetsya-voditel-v-kompaniyu-so-svoim-avtomobilem-IDqhhnN.html,olx.kz,,
Требуется на должность домашней помощницы,,0,,0,"Алматы, Бостандыкский район",https://www.olx.kz/obyavlenie/rabota/trebuetsya-na-dolzhnost-domashney-pomoschnitsy-IDqBr24.html,olx.kz,,
Геодезист- маркшейдер,,0,,0,Конаев (Капчагай),https://www.olx.kz/obyavlenie/rabota/geodezist-marksheyder-IDqMta8.html,olx.kz,,
Требуется менеджер по работе с заказами,,0,,0,"Алматы, Ауэзовский район",https://www.olx.kz/obyavlenie/rabota/trebuetsya-menedzher-po-rabote-s-zakazami-IDqLSe7.html,olx.kz,,
Требуется механизатор,,0,,0,Костанай,https://www.olx.kz/obyavlenie/rabota/trebuetsya-mehanizator-IDqL12e.html,olx.kz,,
Требуется автогрейдерист,,0,,0,"Астана, Байконурский",https://www.olx.kz/obyavlenie/rabota/trebuetsya-avtogreyderist-IDpJNEe.html,olx.kz,,
Ищем парикмахера,,0,,0,Петропавловск,https://www.olx.kz/obyavlenie/rabota/ischem-parikmahera-IDqpFZ8.html,olx.kz,,
Требуется пекарь в столовую,,0,,0,Риддер,https://www.olx.kz/obyavlenie/rabota/trebuetsya-pekar-v-stolovuyu-IDq2uxI.html,olx.kz,,
Разнорабочий на производство,,0,,0,"Уральск, 2-й рабочий",https://www.olx.kz/obyavlenie/rabota/raznorabochiy-na-proizvodstvo-IDqLSfg.html,olx.kz,,
Монтажник-сборщик наружной рекламы,,0,,0,"Караганда, Казыбекбийский район",https://www.olx.kz/obyavlenie/rabota/montazhnik-sborschik-naruzhnoy-reklamy-IDn9VLv.html,olx.kz,,
Шеф повар в столовую,,0,,0,"Астана, Байконурский",https://www.olx.kz/obyavlenie/rabota/shef-povar-v-stolovuyu-IDpUR6s.html,olx.kz,,
"Разнорабочий, работа, жұмысшы қажет",,0,,0,Сайрам,https://www.olx.kz/obyavlenie/rabota/raznorabochiy-rabota-zhmysshy-azhet-IDqBhGP.html,olx.kz,,
Требуется охранники день/ночь48,,0,,0,Павлодар,https://www.olx.kz/obyavlenie/rabota/trebuetsya-ohranniki-den-noch48-IDpZrCy.html,olx.kz,,
Срочно требуются разнорабочие в к/х,,0,,0,Шамалган,https://www.olx.kz/obyavlenie/rabota/srochno-trebuyutsya-raznorabochie-v-k-h-IDoNv3W.html,olx.kz,,
Требуется охранник Павлодар 1/2 90000,,0,,0,Павлодар,https://www.olx.kz/obyavlenie/rabota/trebuetsya-ohrannik-pavlodar-1-2-90000-IDqgph6.html,olx.kz,,
Ищу пастуха и табунщика,,0,,0,"Алматы, Бостандыкский район",https://www.olx.kz/obyavlenie/rabota/ischu-pastuha-i-tabunschika-IDpTkyj.html,olx.kz,,
Работа водителем в такси,,0,,0,"Астана, Байконурский",https://www.olx.kz/obyavlenie/rabota/rabota-voditelem-v-taksi-IDhFUse.html,olx.kz,,
Требуются монтажники пластиковых окон,,0,,0,Темиртау,https://www.olx.kz/obyavlenie/rabota/trebuyutsya-montazhniki-plastikovyh-okon-IDqb8yD.html,olx.kz,,
Требуются сушисты и пиццоры можно без опыта работы,,0,,0,Костанай,https://www.olx.kz/obyavlenie/rabota/trebuyutsya-sushisty-i-pitstsory-mozhno-bez-opyta-raboty-IDpXn7e.html,olx.kz,,
Требуется сборщики ПВХ окон,,0,,0,"Атырау, Балыкшы",https://www.olx.kz/obyavlenie/rabota/trebuetsya-sborschiki-pvh-okon-IDooDXp.html,olx.kz,,
"Техник-универсал, Хаусмастер",,0,,0,Акши,https://www.olx.kz/obyavlenie/rabota/tehnik-universal-hausmaster-IDqIYua.html,olx.kz,,
Требуеться парильщик 2/2,,0,,0,"Усть-Каменогорск, 45-я аптека",https://www.olx.kz/obyavlenie/rabota/trebuetsya-parilschik-2-2-IDqqudq.html,olx.kz,,
"Работа для Курьеров в Яндекс Доставку, на авто, мото, пешком",,0,,0,"Караганда, Казыбекбийский район",https://yandextaxiastana.olx.kz/home/,olx.kz,,
Требуется водитель экспедитор,,0,,0,Петропавловск,https://www.olx.kz/obyavlenie/rabota/trebuetsya-voditel-ekspeditor-IDqJDMD.html,olx.kz,,
Стирка ковров. Рабочие,,0,,0,Семей,https://www.olx.kz/obyavlenie/rabota/stirka-kovrov-rabochie-IDpiRO9.html,olx.kz,,
"Требуются монтажники ПВХ и Алюминиевых окон, дверей, витражей",,0,,0,"Атырау, Жилгородок",https://www.olx.kz/obyavlenie/rabota/trebuyutsya-montazhniki-pvh-i-alyuminievyh-okon-dverey-vitrazhey-IDqhdqh.html,olx.kz,,
Требуются швеи по пошиву спецодежды,,0,,0,"Уральск, 2-й рабочий",https://www.olx.kz/obyavlenie/rabota/trebuyutsya-shvei-po-poshivu-spetsodezhdy-IDqx9Xe.html,olx.kz,,
Менеджер по продажам В2b,,0,,0,Павлодар,https://www.olx.kz/obyavlenie/rabota/menedzher-po-prodazham-v2b-IDqFGaM.html,olx.kz,,
"Требуется разнаробочие, помощники монтажника",,0,,0,"Атырау, Балыкшы",https://www.olx.kz/obyavlenie/rabota/trebuetsya-raznarobochie-pomoschniki-montazhnika-IDmR5cG.html,olx.kz,,
Аренда дамаса. Оплата ежедневно,,0,,0,"Алматы, Алмалинский район",https://www.olx.kz/obyavlenie/rabota/arenda-damasa-oplata-ezhednevno-IDqqHVK.html,olx.kz,,
Грузчик на склад Караганда,,0,,0,"Караганда, Казыбекбийский район",https://www.olx.kz/obyavlenie/rabota/gruzchik-na-sklad-karaganda-IDqLyl1.html,olx.kz,,
Свободный Тороговый предстовитель,,0,,0,"Уральск, Микрорайон 6 (Конаева)",https://www.olx.kz/obyavlenie/rabota/svobodnyy-torogovyy-predstovitel-IDqMbcm.html,olx.kz,,
Требуется водитель на фуру,,0,,0,"Караганда, Казыбекбийский район",https://www.olx.kz/obyavlenie/rabota/trebuetsya-voditel-na-furu-IDqimBW.html,olx.kz,,
Требуются водители,,0,,0,"Актобе, микрорайон 12",https://www.olx.kz/list/user/4lxUE/,olx.kz,,
Требуется швея на ремонт и пошив одежды,,0,,0,"Астана, Алматинский район",https://www.olx.kz/obyavlenie/rabota/trebuetsya-shveya-na-remont-i-poshiv-odezhdy-IDqIYhr.html,olx.kz,,
Требуется тракторист- механизатор,,0,,0,"Алматы, Медеуский район",https://www.olx.kz/obyavlenie/rabota/trebuetsya-traktorist-mehanizator-IDpvJUj.html,olx.kz,,
Вахта Лемана про Россия,,0,,0,"Актобе, микрорайон 11",https://www.olx.kz/obyavlenie/rabota/vahta-lemana-pro-rossiya-IDqHtmD.html,olx.kz,,
Ищем ученика монтажника кондиционеров,,0,,0,"Караганда, Казыбекбийский район",https://www.olx.kz/obyavlenie/rabota/ischem-uchenika-montazhnika-konditsionerov-IDqDd4z.html,olx.kz,,
Требуется техничка на уборку подъездов,,0,,0,Петропавловск,https://www.olx.kz/obyavlenie/rabota/trebuetsya-tehnichka-na-uborku-podezdov-IDorxoe.html,olx.kz,,
Вахта работа Россия,,0,,0,"Тараз, 1-мкр. Акбулак",https://www.olx.kz/obyavlenie/rabota/vahta-rabota-rossiya-IDqx3wE.html,olx.kz,,
Требуется швея в ателье,,0,,0,"Астана, Есильский район",https://www.olx.kz/obyavlenie/rabota/trebuetsya-shveya-v-atele-IDpUde5.html,olx.kz,,
Требуется в кафе в р-н аэропорта повар-универсал со стажем,,0,,0,"Алматы, Турксибский район",https://www.olx.kz/obyavlenie/rabota/trebuetsya-v-kafe-v-r-n-aeroporta-povar-universal-so-stazhem-IDqoSzL.html,olx.kz,,
Срочно требуется бухгалтер,,0,,0,"Астана, Есильский район",https://www.olx.kz/obyavlenie/rabota/srochno-trebuetsya-buhgalter-IDqKexn.html,olx.kz,,
