title,company_name,has_company_name,salary,has_salary,url,source,description,label,id,text
Требуется водитель на цементовоз,,0,,0,https://www.olx.kz/obyavlenie/rabota/trebuetsya-voditel-na-tsementovoz-IDq4Oz9.html,olx.kz,,0,517,требуется водитель на цементовоз 
Оператор по обработке первичных документов,ТОО Фирма Арасан,1,,0,https://almaty.hh.kz/vacancy/132235284?hhtmFrom=vacancy_search_list,hh.kz,"обязанности: осуществление маркировки табачной продукции в установленном порядке; подвязка электронных счетов-фактур (эсф); подшивка, систематизация и архивирование первичной документации; проверка продаж по данным офд, сверка кассовых чеков и банковских операций; выполнение поручений главного бухгалтера в рамках своей компетенции. требования: среднее специальное или высшее образование (бухгалтерия, финансы — желательно); опыт работы с первичной документацией будет преимуществом; внимательность, ответственность, аккуратность в работе с документами; уверенное владение пк (excel, 1с — желательно). условия: официальное трудоустройство; стабильная заработная плата; график работы: пятидневка; дружный коллектив.",0,40,оператор по обработке первичных документов обязанности осуществление маркировки табачной продукции в установленном порядке подвязка электронных счетов фактур эсф подшивка систематизация и архивирование первичной документации проверка продаж по данным офд сверка кассовых чеков и банковских операций выполнение поручений главного бухгалтера в рамках своей компетенции требования среднее специальное или высшее образование бухгалтерия финансы желательно опыт работы с первичной документацией будет преимуществом внимательность ответственность аккуратность в работе с документами уверенное владение пк excel 1с желательно условия официальное трудоустройство стабильная заработная плата график работы пятидневка дружный коллектив
Требуется преподаватель в АВТОШКОЛУ,,0,,0,https://www.olx.kz/obyavlenie/rabota/trebuetsya-prepodavatel-v-avtoshkolu-IDqLB5b.html,olx.kz,,0,712,требуется преподаватель в автошколу 
Ищем курьеров на доставку еды из ресторанов,,0,Бесплатно,1,https://www.olx.kz/obyavlenie/rabota/ischem-kurerov-na-dostavku-edy-iz-restoranov-IDqEjws.html,olx.kz,,1,695,ищем курьеров на доставку еды из ресторанов 
Требуются Механизаторы,,0,,0,https://www.olx.kz/obyavlenie/rabota/trebuyutsya-mehanizatory-IDqIu4D.html,olx.kz,,1,630,требуются механизаторы 
Требуется водитель-экспедитор по горду Алматы с опытам работы вождени,,0,,0,https://www.olx.kz/obyavlenie/rabota/trebuetsya-voditel-ekspeditor-po-gordu-almaty-s-opytam-raboty-vozhdeni-IDqzVOd.html,olx.kz,,0,598,требуется водитель экспедитор по горду алматы с опытам работы вождени 
Требуеться парильщик 2/2,,0,,0,https://www.olx.kz/obyavlenie/rabota/trebuetsya-parilschik-2-2-IDqqudq.html,olx.kz,,1,555,требуеться парильщик 2 2 
Требуется водитель на еврофуру,,0,60 000 тг.,1,https://www.olx.kz/obyavlenie/rabota/trebuetsya-voditel-na-evrofuru-IDoTuAa.html,olx.kz,,1,523,требуется водитель на еврофуру 
Тренер,Бакыткызы Дина,1,,0,https://almaty.hh.kz/vacancy/132059565?hhtmFrom=vacancy_search_list,hh.kz,"приглашаем в команду тренеров в новую танцевальную студию, где вы сможете развиваться и работать в дружелюбной атмосфере обязанности проведение занятий по выбранным направлениям танцев, фитнеса и йоги подготовка и проведение тренировок для взрослых и детей поддержание мотивации и интереса у учеников обеспечение безопасности и правильной техники выполнения упражнений участие в развитии и продвижении студии требования опыт работы тренером ответственность любовь к своему делу коммуникабельность и умение работать с разными возрастными группами желание развиваться и обучаться условия работа в новой студии возможность профессионального роста вместе с проектом дружелюбная атмосфера в коллективе",1,389,тренер приглашаем в команду тренеров в новую танцевальную студию где вы сможете развиваться и работать в дружелюбной атмосфере обязанности проведение занятий по выбранным направлениям танцев фитнеса и йоги подготовка и проведение тренировок для взрослых и детей поддержание мотивации и интереса у учеников обеспечение безопасности и правильной техники выполнения упражнений участие в развитии и продвижении студии требования опыт работы тренером ответственность любовь к своему делу коммуникабельность и умение работать с разными возрастными группами желание развиваться и обучаться условия работа в новой студии возможность профессионального роста вместе с проектом дружелюбная атмосфера в коллективе
Директор по стратегическому развитию компании,ТОО Компания АйсМастер - Айс Крим,1,,0,https://almaty.hh.kz/vacancy/132223898?hhtmFrom=vacancy_search_list,hh.kz,"обязанности: - разработка концепции и стратегии развития предприятия; - знание основ продаж, менеджмента и маркетинга, бухгалтерии и финансов, логистики(доставка продукции и складское хозяйство); - знание переговорных процессов, опыт проведения успешных деловых переговоров с обсуждением коммерческих условий, обсуждения условий договоров и успешное их заключение; - планирование продаж, планирование бюджетов корпоративных финансов и контроль реализации достижения плановых показателей; - анализ рынков сбыта, территорий региональных и экспортных продаж, по всем категориям каналов сбыта(кат.а, в,с, horeca); - разработка и подготовка программ развития различных подразделений компании; - знание административно-хозяйственной деятельности и логистических процессов, умение управлять коллективом предприятия; - оптимизация бизнеса в разных рыночных ситуациях, стабилизация состояния компании, определение возможностей поведения в кризисных ситуациях; - трансформация стратегических целей на уровень процессов и проектов и их реализация; - разработка систем мотивации персонала компании; - контроль выполнения подчиненными поставленных руководством задач. требования: - высшее экономическое или финансовое образование; - опыт работы на руководящих должностях не менее 6-ти лет; - знание компьютера и компьютерных программ: ms office, 1с-бухгалтерия на уровне уверенного пользователя; - знание действующего законодательства рк. условия: - рабочая неделя: 5/2; - компенсация затрат на услуги мобильной связи, компенсация командировочных расходов; - уровень оплаты труда, обсуждается индивидуально при собеседовании с руководством компании.",0,293,директор по стратегическому развитию компании обязанности разработка концепции и стратегии развития предприятия знание основ продаж менеджмента и маркетинга бухгалтерии и финансов логистики доставка продукции и складское хозяйство знание переговорных процессов опыт проведения успешных деловых переговоров с обсуждением коммерческих условий обсуждения условий договоров и успешное их заключение планирование продаж планирование бюджетов корпоративных финансов и контроль реализации достижения плановых показателей анализ рынков сбыта территорий региональных и экспортных продаж по всем категориям каналов сбыта кат а в с horeca разработка и подготовка программ развития различных подразделений компании знание административно хозяйственной деятельности и логистических процессов умение управлять коллективом предприятия оптимизация бизнеса в разных рыночных ситуациях стабилизация состояния компании определение возможностей поведения в кризисных ситуациях трансформация стратегических целей на уровень процессов и проектов и их реализация разработка систем мотивации персонала компании контроль выполнения подчиненными поставленных руководством задач требования высшее экономическое или финансовое образование опыт работы на руководящих должностях не менее 6 ти лет знание компьютера и компьютерных программ ms office 1с бухгалтерия на уровне уверенного пользователя знание действующего законодательства рк условия рабочая неделя 5 2 компенсация затрат на услуги мобильной связи компенсация командировочных расходов уровень оплаты труда обсуждается индивидуально при собеседовании с руководством компании
Заместитель директора,ТОО Goldman Astana,1,"700 000 ₸ за месяц, на руки",1,https://almaty.hh.kz/vacancy/132070573?hhtmFrom=vacancy_search_list,hh.kz,"обязанности: руководство выполнением отдельных заданий по производству, разработка и согласование совместно с директором предприятия планов развития производства; организация работы по выпуску продукции , контроль за работой цехов. разработка и осуществление мер по повышению качества продукции, систематический анализ ее технического уровня. принятие мер по разрешению вопросов, относящихся к финансово-экономической и производственной деятельности обеспечение выполнения в полной мере обязательств предприятия перед поставщиками, заказчиками, кредиторами, а также хозяйственных договоров. организация и осуществление работы по поиску новых клиентов и партнеров; установление и поддержание долгосрочных деловых отношений; взаимодействие с производством и логистикой для своевременного выполнения заказов; организация мероприятий по продвижению продукции и формированию узнаваемости бренда компании; контроль использования фирменного стиля компании подготовка распоряжений по всем вопросам, касающимся его компетенции, в области производства, сроков и других обязательств для исполнения. принятие мер по совершенствованию планирования экономических показателей деятельности организации контроль ведения учета расходования и поступления средств, использования товарно-материальных ценностей требования: опыт работы на производстве не менее 6 лет, руководство предприятием аналитическое мышление, креативный подход к решению задач самостоятельная организация перемещения между объектами условия: пятидневная 40 часовая рабочая неделя молодой, дружный коллектив",0,432,заместитель директора обязанности руководство выполнением отдельных заданий по производству разработка и согласование совместно с директором предприятия планов развития производства организация работы по выпуску продукции контроль за работой цехов разработка и осуществление мер по повышению качества продукции систематический анализ ее технического уровня принятие мер по разрешению вопросов относящихся к финансово экономической и производственной деятельности обеспечение выполнения в полной мере обязательств предприятия перед поставщиками заказчиками кредиторами а также хозяйственных договоров организация и осуществление работы по поиску новых клиентов и партнеров установление и поддержание долгосрочных деловых отношений взаимодействие с производством и логистикой для своевременного выполнения заказов организация мероприятий по продвижению продукции и формированию узнаваемости бренда компании контроль использования фирменного стиля компании подготовка распоряжений по всем вопросам касающимся его компетенции в области производства сроков и других обязательств для исполнения принятие мер по совершенствованию планирования экономических показателей деятельности организации контроль ведения учета расходования и поступления средств использования товарно материальных ценностей требования опыт работы на производстве не менее 6 лет руководство предприятием аналитическое мышление креативный подход к решению задач самостоятельная организация перемещения между объектами условия пятидневная 40 часовая рабочая неделя молодой дружный коллектив
